Date,Country,Bias motivations,Type of incident,Source,Description
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was severely beaten by people who claimed to be police officers.
2016-09,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),Two transgender women were sexually assaulted.
2016-01,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),Two transgender women were physically assaulted by a group.
2016-08,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),Transgender women were attacked by a group chanting threats.
2016-02,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A cross-dressing person was stabbed.
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was abducted overnight and sexually assaulted.
2016-02,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted by a group.
2016-03,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was assaulted and robbed at knife point.
2016-03,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted by a group.
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted by a group.
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted.
2016-01,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted by a perpetrator armed with a knife.
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),"A  transgender woman was abducted, physically assaulted and extorted."
2016-11,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender man was stabbed and seriously wounded.
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),Two transgender women were attacked by a group.
2016-02,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),"A  transgender woman was attacked, robbed and sexually assaulted by a group."
2016-05,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was the target of an attempted sexual assault.
2016-02,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was stabbed.
2016-06,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted and harassed by police officers.
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted and robbed by a group.
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was abducted and sexually assaulted by a group.
2016-05,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted by a group.
2016-09,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted and insulted by police officers.
2016-01,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),"A transgender man in a bar with his partner was insulted, physically assaulted and stabbed."
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was harassed and sexually assaulted.
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender woman was subjected to transphobic threats and physically assaulted.
2016-11,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),Transgender women located across a city were physically assaulted simultaneously.
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),Transgender women and cross-dressers were physically assaulted.
2016-07,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was attacked by a group.
2016-06,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was physically assaulted and insulted by police officers.
2016-06,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was abducted by a group and sexually assaulted.
2016-04,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A cross-dressing person was physically assaulted by perpetrators armed with a knife.
2016-09,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman was beaten while she was in police custody.
2016-05,Turkey,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender woman was shot at with a firearm.
2016-01,Moldova,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender woman was physically assaulted by a group.
2016-01,Moldova,Anti-LGBTI hate crime,Threats,Transgender Europe (TGEU),A transgender woman was regularly sexually assaulted and subjected to threats after revealing her gender identity.
2016-10,Moldova,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A cross-dresser was physically assaulted and subjected to transphobic insults by a group during a local pride event.
2016-12,Ukraine,Anti-LGBTI hate crime,Threats,Transgender Europe (TGEU),A transgender man received up to 15 messages containing death threats and threats of sexual assault.
2016-03,France,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender woman was attacked by a group and subjected to transphobic insults.
2016-06,Italy,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A Brazilian transgender woman was stabbed and killed.
2016-07,Italy,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender migrant from Brazil was shot and killed.
2016-08,Italy,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender woman was killed and her body left in a rubbish container.
2016-07,Kazakhstan,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),"Four transgender women were abducted, repeatedly assaulted and held as prostitutes. The victims managed to escape."
2016-08,Norway,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A transgender woman was attacked after using the women's restroom.
2016-10,Spain,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A  transgender woman and migrant from Venezuela was stabbed and died when she fell out of a window while attempting to escape.
2016-11,Sweden,Anti-LGBTI hate crime,Violent attacks against people,Transgender Europe (TGEU),A 61-year-old transgender woman was strangled and then stabbed to death by a group.
2016-03,Switzerland,Anti-Semitic hate crime,Threats,CICAD,A Jewish family received threats via an anonymous letter with anti-Semitic content.
2016-05,Switzerland,Anti-Semitic hate crime,Attacks against property,CICAD,An anti-Semitic sticker was found outside a Jewish community centre.
2016-05,Switzerland,Anti-Semitic hate crime,Threats,CICAD,Two Jewish brothers received anti-Semitic threats via social media.
2016-12,Switzerland,Anti-Semitic hate crime,Attacks against property,CICAD,A Holocaust remembrance plaque was vandalized with anti-Semitic graffiti.
2016-05,Switzerland,Anti-Semitic hate crime,Violent attacks against people,CICAD,A man was threatened and physically assaulted after revealing his Jewish identity.
2016-12,Serbia,Anti-Semitic hate crime,Attacks against property,Federation of Jewish Communities in Serbia (SJOS),The house of a Jewish family was spray-painted with a swastika following an ongoing dispute with neighbours.
2016-10,Kyrgyzstan,Gender-based hate crime,Threats,Shah Ayim Network,A female sex worker was blackmailed and verbally abused with sexist and racial slurs by police officers.
2016-02,Kyrgyzstan,"Gender-based hate crime, Anti-LGBTI hate crime",Violent attacks against people,Shah Ayim Network,"A transgender woman accepting money for sex was subjected to misogynist insults, threatened and robbed by police officers."
2016-10,Kyrgyzstan,"Gender-based hate crime, Anti-LGBTI hate crime",Violent attacks against people,Shah Ayim Network,"A transgender woman accepting money for sex was subjected to misogynist insults, physically assaulted and blackmailed by police officers."
2016-10,Lithuania,"Racist and xenophobic hate crime, Anti-Muslim hate crime",Violent attacks against people,European Foundation of Human Rights (EFHR),A female Muslim refugee and a child were assaulted. The assailants broke the woman's glasses and tried to grab her headscarf.
2016-10,Lithuania,Racist and xenophobic hate crime,Attacks against property,European Foundation of Human Rights (EFHR),A vehicle belonging to a man of Turkish origin was vandalised with indecent drawings and words. Other properties belonging to the man were vandalised prior to this incident.
2016-10,Lithuania,Racist and xenophobic hate crime,Attacks against property,European Foundation of Human Rights (EFHR),A monument that commemorates Polish victims of the Second World War was covered with white paint.
2016-08,Lithuania,Racist and xenophobic hate crime,Attacks against property,European Foundation of Human Rights (EFHR),A bench commemorating a Polish composer was vandalised and Polish national Symbols were covered in paint.
2016-12,Latvia,Racist and xenophobic hate crime,Violent attacks against people,Latvian Centre for Human Rights,A South African woman travelling with her son was spat while in public transportation.
2016-01,Latvia,Racist and xenophobic hate crime,Violent attacks against people,Latvian Centre for Human Rights,The children of asylum seekers were physically assaulted and subjected to racial slurs while going to school on public transportation.
2016-01,Latvia,Racist and xenophobic hate crime,Threats,Latvian Centre for Human Rights,A male refugee was threatened by a group armed with a firearm who told the victim to leave the country.
2016-01,Latvia,Racist and xenophobic hate crime,Attacks against property,Latvian Centre for Human Rights,"On the gate of the asylum seekers camp, a note was pinned urging asylum seekers to leave."
2016-12,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,SOVA Center,A woman of African descent was sexually assaulted and murdered. The suspects used racist slurs and were arrested.
2016-08,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,SOVA Center,"A Tajik teenager was mutilated and murdered. A group of suspects armed with bats, knives and a machete was arrested."
2016-04,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,"SETA, SOVA Center",Two Tajik men were insulted and physically assaulted while using public transportation. One of them was shot at following altercations.
2016-08,Russian Federation,Racist and xenophobic hate crime,Violent attacks against people,SOVA Center,A Kyrgyz man was murdered near a metro station by a group.
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,SOVA Center,A gay journalist was murdered. A perpetrator was arrested and expressed hatred towards the victim's sexual orientation.
2016-07,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,SOVA Center,The patrons of a gay bar were attacked by a group.
2016-11,Lithuania,Anti-LGBTI hate crime,Violent attacks against people,Lithuanian Gay League (LGL),A gay man was targeted for robbery by a group but the perpetrators were arrested by police before carrying out the act.
2016-07,Lithuania,Anti-LGBTI hate crime,Violent attacks against people,Lithuanian Gay League (LGL),Two women participating in an annual LGBT festival were injured during an attack involving two groups that followed an incident of theft.
2016-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was insulted, robbed and subjected to death threats after being ambushed via a dating website."
2016-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Male LGBT activists were subjected to homophobic slurs and physically attacked.
2016-03,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Two gay men were insulted and one of the victims was physically assaulted by a group.
2016-03,Ukraine,Anti-LGBTI hate crime,Attacks against property,LGBT Human Rights NASH SVIT Center,Buses transporting participants of the local equality march had stones thrown at them by a group.
2016-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted by a group. The victim was also threatened at knife point.
2016-03,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and robbed."
2016-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Lesbian and transgender women were sexually assaulted in a club.
2016-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Three lesbian women were insulted and one of the victims was physically assaulted.
2016-04,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, threatened and blackmailed."
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, subjected to homophobic insults and physically assaulted by a large group. This incident occurred in territories that are not under the control of the Ukrainian government."
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was subjected to homophobic insults and beaten while in police custody.
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and physically assaulted by a group. The victim was then physically assaulted by a police officer who had arrived at the scene. The victim required hospitalization.
2016-05,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay man was blackmailed because of his sexual orientation.
2016-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Two gay men were physically assaulted by a group after they were seen kissing.
2016-06,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A participant in the local pride march was physically assaulted.
2016-12,Serbia,Anti-Semitic hate crime,Attacks against property,OSCE Mission to Serbia,The house of a Jewish returnee family was spray-painted with swastikas. This followed prior harassment of the family.
2016-07,Serbia,Racist and xenophobic hate crime,Violent attacks against people,OSCE Mission to Serbia,A man of Croatian descent was insulted and physically assaulted.
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and physically assaulted.
2016-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted and robbed.
2016-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Gay men were physically assaulted and subjected to homophobic insults in a local restaurant.
2016-04,Ukraine,Anti-LGBTI hate crime,Attacks against property,LGBT Human Rights NASH SVIT Center,"A house hosting an LGBT event was attacked by a group that damaged the door, walls and the alarm system."
2016-08,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, insulted, robbed and physically assaulted."
2016-08,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, threatened and nearly robbed at knifepoint."
2016-09,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was subjected to homophobic insults and physically assaulted.
2016-03,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay man was blackmailed because of his sexual orientation.
2016-10,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was ambushed and physically assaulted.
2016-10,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,An LGBT celebration was disrupted by a group that threatened participants and physically assaulted two of them.
2016-10,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and robbed."
2016-10,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Three gay men were physically assaulted by a group. One of the victims had been the target of three prior incidents.
2016-11,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and subjected to homophobic insults."
2016-11,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, insulted and physically assaulted by a group."
2016-06,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted by a group right after his participating in the local pride event.
2016-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay guy was insulted and physically assaulted by a group because of his sexual orientation.
2016-02,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, insulted, physically assaulted and robbed."
2016-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, insulted, physically assaulted and robbed."
2016-01,Serbia,Racist and xenophobic hate crime,Violent attacks against people,OSCE Mission to Serbia,"The abbot of a Franciscan Monastery, who is of Croatian descent, was severely beaten in the attempted theft of religious items.The perpetrator was arrested."
2016-10,Serbia,Anti-LGBTI hate crime,Violent attacks against people,OSCE Mission to Serbia,A transgender man was physically assaulted and insulted by a group.
2016-08,Serbia,Anti-LGBTI hate crime,Violent attacks against people,"ILGA-Europe, OSCE Mission to Serbia",A gay activist was physically assaulted and subjected to homophobic insults.
2016-09,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and attacked by a group because of his sexual orientation.
2016-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and attacked because of his sexual orientation.
2016-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay couple was ambushed and physically assaulted by a group. This incident occurred in territories that are not under the control of the Ukrainian government.
2016-09,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was ambushed and physically assaulted by a group.
2016-08,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was verbally and physically assaulted by a group of soldiers.
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and physically assaulted by a group.
2016-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was robbed, insulted and physically assaulted by a group."
2016-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and physically assaulted by a group.
2016-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was robbed, insulted and physically assaulted."
2016-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, insulted and physically assaulted by a group."
2016-07,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was insulted and physically assaulted by a group.
2016-09,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, insulted and physically assaulted."
2016-09,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Two gay men were physically assaulted and insulted in a park.
2016-08,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Two gay men had stones thrown at them and were insulted by a group.
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,Two gay men were physically assaulted and insulted by a group because of their appearance.
2016-04,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and robbed by a group."
2016-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically and sexually assaulted, and robbed by a group of militia. This incident occurred in territories that are not under the control of the Ukrainian government."
2016-09,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and robbed."
2016-12,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was ambushed and physically assaulted by a group in an attempted robbery.
2016-12,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted after his sexual orientation was questioned.
2016-12,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted because of his sexual orientation.
2016-09,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay man was blackmailed because of his sexual orientation by perpetrators who claimed to be police officers.
2016-08,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and blackmailed because of his sexual orientation by a group of perpetrators who claimed to be police officers."
2016-03,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted and insulted because of his appearance.
2016-01,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted and insulted by a group.
2016-06,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, threatened and physically assaulted by a group in his apartment."
2016-08,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and insulted. The victim was attacked twice within a year, by the same perpetrator."
2016-11,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, electrocuted by a weapon, and insulted in an attempted robbery. The victim was attacked twice within a year, by the same perpetrator."
2016-11,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and insulted by a group because of his sexual orientation."
2016-09,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,A gay teenager was ambushed and physically assaulted by a group. The victim was threatened with a knife and a stun gun and ordered to change his sexual orientation.
2016-04,Moldova,Anti-Semitic hate crime,Attacks against property,"Jewish Community of Moldova, OSCE Mission to Moldova",A Jewish cemetery was vandalized and more than 10 tombstones were overturned or damaged.
2016-05,Moldova,Anti-Semitic hate crime,Attacks against property,OSCE Mission to Moldova,A Jewish cemetery was vandalized by a group and 14 tombstones were damaged.
2016-08,Ukraine,Anti-LGBTI hate crime,Threats,LGBT Human Rights NASH SVIT Center,Participants in a local equality march were threatened by a group.
2016-05,Moldova,Anti-Semitic hate crime,Attacks against property,OSCE Mission to Moldova,A Jewish cemetery was vandalized by a group and several tombstones were damaged.
2016-05,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,A gay man was physically assaulted and subjected to homophobic insults by a group.
2016-12,Ukraine,Anti-LGBTI hate crime,Violent attacks against people,LGBT Human Rights NASH SVIT Center,"A gay man was ambushed, physically assaulted and insulted by a group."
2016-11,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A man perceived as gay was physically assaulted, his hair was nearly set on fire, and subjected to homophobic insults."
2016-06,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, ILGA-Europe, Russian LGBT Network","A gay club was attacked by a group, which fired air pistols at and physically assaulting one of the patrons."
2016-06,Moldova,Anti-Roma hate crime,Violent attacks against people,OSCE Mission to Moldova,A Roma man was physically assaulted and robbed by a group that shouted anti-Roma insults.
2016-12,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A picketing LGBT activist was physically assaulted by a masked group. The victim was threatened by police officers when he attempted to report the incident.
2016-12,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was threatened and subjected to homophobic insults.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was ambushed and physically assaulted by a group. The assault continued while the perpetrators and victim were in police custody.
2016-06,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man with disabilities was physically assaulted and subjected to homophobic insults.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, ILGA-Europe, Russian LGBT Network","A group of LGBT sportsmen was attacked by a group armed with clubs during a sports event. The victims were subjected to homophobic insults and threats, some were robbed and had their vehicles damaged. Three victims sustained serious injuries."
2016-05,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, threatened, robbed and had his head forcibly shaved."
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Two gay men were threatened and physically assaulted by a group.
2016-04,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Two gay men were physically assaulted by a group. The victims were targeted because of their appearance.
2016-12,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was physically and sexually assaulted by a group. A friend of the victim was also physically assaulted when he arrived at the scene.
2016-11,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A lesbian student was repeatedly physically assaulted and subjected to homophobic insults.
2016-11,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender person was physically assaulted by a group when their gender identity was discovered.
2016-04,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay student was threatened and physically assaulted after his sexual orientation was discovered.
2016-11,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A lesbian teenager was repeatedly physically assaulted and subjected to homophobic insults.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, physically assaulted, subjected to homophobic insults and nearly robbed."
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A man and a woman were physically assaulted and insulted by a group because the man was perceived as gay. Both victims required hospitalization.
2016-06,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A lesbian couple was physically assaulted and subjected to homophobic insults at a beach. The victims sustained serious injuries.
2016-07,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, physically assaulted and blackmailed by a group."
2016-09,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A young man perceived to be gay was physically assaulted and subjected to homophobic insults by groups twice within a month. The victim's hair was nearly set alight in the first incident.
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay student was physically assaulted and subjected to homophobic insults by a group.
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay minor was physically assaulted by a group.
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender woman was physically assaulted and threatened.
2016-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was physically assaulted and subjected to homophobic insults.
2016-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was ambushed and physically assaulted by a group.
2016-05,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Two gay men were physically assaulted and subjected to homophobic insults.
2016-06,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, physically assaulted and robbed by a group in a public park."
2016-06,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, physically assaulted and robbed by a group in a public park."
2016-05,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was physically assaulted because of his sexual orientation.
